Graph Size,Average Cost,Cost Std Dev,Cost Max,Cost Min,Average Nodes Expanded,Nodes Std Dev,Nodes Max,Nodes Min,Average CPU Time,CPU Std Dev,CPU Max,CPU Min,Average Real Time,Real Time Std Dev,Real Time Max,Real Time Min
5,200.23333333333332,39.07657724121815,271.0,120.0,4.1,0.5385164807134504,7,4,2.8566666666667018e-05,3.809491071288256e-06,4.500000000000337e-05,2.5999999999998247e-05,2.9889742533365884e-05,9.056241844918243e-06,7.700920104980469e-05,2.6702880859375e-05
10,294.7,34.31923658824596,351.0,220.0,9.633333333333333,1.53803626600791,15,9,0.0003053666666666691,2.5969832926345203e-05,0.0004060000000000036,0.0002899999999999986,0.0003076950709025065,2.682173222432506e-05,0.0004069805145263672,0.00029087066650390625
15,367.93333333333334,35.09029622116189,470.0,301.0,14.4,1.2000000000000002,20,14,0.0013698666666666674,0.00014626886962789556,0.002012,0.0012989999999999946,0.0013807217280069988,0.0001479507587065737,0.0020220279693603516,0.0013020038604736328
20,440.1333333333333,43.99904039357626,525.0,354.0,20.1,3.350124375800595,35,19,0.004127200000000002,0.0004636931744160151,0.006095000000000017,0.0038559999999999983,0.004171125094095866,0.0004610155358220432,0.006098031997680664,0.0038759708404541016
25,513.0333333333333,55.764076449110334,614.0,412.0,25.166666666666668,3.550430333854694,40,24,0.009387966666666666,0.0005315611274559357,0.011814000000000019,0.009095999999999993,0.009551930427551269,0.0006407057958380281,0.011935949325561523,0.009137868881225586
30,560.4666666666667,45.22737617367998,657.0,473.0,30.933333333333334,6.021812204164309,60,29,0.019355433333333335,0.002472006441244764,0.031923000000000035,0.018382999999999983,0.019611493746439616,0.002529596855104781,0.032283782958984375,0.018480777740478516
35,600.7666666666667,43.28793776048422,687.0,515.0,34.5,1.284523257866513,40,34,0.03425253333333332,0.0012973342086328031,0.03952,0.03334100000000001,0.03459181785583496,0.0013341482664027177,0.03982281684875488,0.03340792655944824
40,655.3666666666667,53.52101352636074,779.0,491.0,40.63333333333333,3.4687493743743176,54,39,0.06057806666666665,0.008160975652184942,0.08690499999999995,0.056155999999999984,0.06127270062764486,0.008271900049106357,0.08796906471252441,0.05657386779785156
45,699.9,35.408426492385495,782.0,638.0,46.86666666666667,5.737207993053377,67,44,0.09477560000000002,0.011897583745169993,0.14751599999999998,0.08873699999999995,0.09732139905293782,0.017070335610272463,0.16091108322143555,0.08882498741149902
50,756.7666666666667,53.77464292975103,868.0,671.0,51.4,5.174295443181935,71,49,0.1378369,0.007622816213403895,0.17647599999999997,0.13441300000000006,0.13858917554219563,0.00759825326873546,0.1770339012145996,0.13463783264160156
55,773.9666666666667,55.045122904355075,909.0,656.0,56.166666666666664,5.808518648406743,83,54,0.20188176666666668,0.013859613476292268,0.261667,0.194764,0.20264147917429606,0.013844267606700465,0.26218104362487793,0.19498205184936523
