Graph Size,Average Cost,Cost Std Dev,Cost Max,Cost Min,Average Nodes Expanded,Nodes Std Dev,Nodes Max,Nodes Min,Average CPU Time,CPU Std Dev,CPU Max,CPU Min,Average Real Time,Real Time Std Dev,Real Time Max,Real Time Min
5,205.03333333333333,37.255409748861375,271.0,120.0,4.2,0.4760952285695233,6,4,2.750000000000021e-05,3.373919580151783e-06,3.999999999999837e-05,2.4999999999997247e-05,2.8045972188313804e-05,3.3284709968117784e-06,4.00543212890625e-05,2.5033950805664062e-05
10,363.1333333333333,47.95187402200484,456.0,265.0,12.033333333333333,2.626573602412255,20,9,0.00026706666666666636,6.0475853767342197e-05,0.0004590000000000011,0.0001850000000000046,0.0002706607182820638,6.0216801861862074e-05,0.0004589557647705078,0.00018477439880371094
15,500.56666666666666,50.6554921887932,585.0,372.0,18.833333333333332,3.387066905483596,29,14,0.0009154666666666659,0.00018357772801247543,0.0014300000000000007,0.0006720000000000059,0.0009235858917236329,0.00018422659197983812,0.0014309883117675781,0.0006718635559082031
20,660.5,63.7227065757045,800.0,525.0,29.2,5.331666406168588,42,20,0.002593933333333334,0.0006206458428300434,0.0037449999999999983,0.0016260000000000163,0.002619314193725586,0.0006377670353391165,0.0037469863891601562,0.0016429424285888672
25,861.1,74.84755618366353,977.0,663.0,38.63333333333333,4.67249635871685,50,31,0.005286866666666668,0.0007264947227765834,0.00664300000000001,0.003911999999999999,0.005369162559509278,0.000736983419394477,0.0066640377044677734,0.003943920135498047
30,1011.0666666666667,81.7626374873566,1238.0,864.0,48.7,8.922443611477743,85,35,0.01002563333333333,0.0021824019715798357,0.018210999999999977,0.00667100000000001,0.01015322208404541,0.0022161322218748735,0.018513917922973633,0.00673985481262207
35,1164.0,78.29048473473644,1359.0,1033.0,57.03333333333333,8.704341190208227,84,42,0.0158537,0.0029960213077791426,0.02490199999999998,0.01124200000000003,0.016013582547505695,0.003023442315228357,0.025002002716064453,0.011390924453735352
40,1355.7666666666667,74.99674807764816,1520.0,1207.0,73.26666666666667,11.730113194490306,108,54,0.027345333333333326,0.006251504594006864,0.04366700000000001,0.018170999999999993,0.027667800585428875,0.006315466574811985,0.04411005973815918,0.01825094223022461
45,1523.7666666666667,72.52709072401076,1702.0,1411.0,78.6,11.283025598954682,102,51,0.03801806666666666,0.006353721177039135,0.05436500000000005,0.022609000000000046,0.038417760531107584,0.00638308961780935,0.054438114166259766,0.022633075714111328
50,1695.9,96.25914675153386,1841.0,1506.0,91.73333333333333,13.376430349270647,124,74,0.056514133333333334,0.009585767462696399,0.08057900000000001,0.04356899999999997,0.05740025043487549,0.010659462100390813,0.08456301689147949,0.04358100891113281
55,1870.6666666666667,96.36919747627985,2103.0,1690.0,99.76666666666667,13.826745419254992,144,80,0.07655103333333332,0.013101106234419884,0.12097000000000002,0.057342000000000004,0.07752106189727784,0.013180869043396142,0.1214900016784668,0.057405948638916016
60,2053.6,120.45043240547817,2272.0,1840.0,112.4,18.287700784953806,160,85,0.10387956666666667,0.020371194420362844,0.16329100000000002,0.07225999999999999,0.10526970227559408,0.020420603561922147,0.16396808624267578,0.07232785224914551
65,2251.5,117.50226948162887,2526.0,2042.0,126.96666666666667,17.430783752379643,171,97,0.14054523333333335,0.023843251580105904,0.201171,0.10092200000000007,0.14228943188985188,0.0243217598288781,0.2039318084716797,0.10183501243591309
70,2414.766666666667,143.79746945694916,2711.0,2159.0,132.0,17.84376641855637,168,104,0.17788140000000002,0.03307416911387696,0.263802,0.12157099999999998,0.184322722752889,0.04041860803113754,0.30492186546325684,0.12165403366088867
75,2632.9666666666667,149.95787927133256,2933.0,2259.0,148.86666666666667,19.240120119745153,211,115,0.233126,0.03640789565190496,0.34846600000000005,0.172666,0.23513646920522055,0.03659802843118509,0.3490941524505615,0.1740880012512207
80,2809.866666666667,101.28564667425599,2987.0,2641.0,158.56666666666666,23.350493689760732,230,126,0.2878148333333333,0.054858314589545654,0.469519,0.21395999999999993,0.28989609877268474,0.05492264001444248,0.4714169502258301,0.21566104888916016
85,2955.5,115.10451772193827,3159.0,2679.0,169.46666666666667,18.398792230892646,206,137,0.3533239333333334,0.05057304047344683,0.470518,0.272069,0.3587251345316569,0.05635166154917651,0.5027289390563965,0.27532482147216797
90,3117.733333333333,154.10427926858128,3322.0,2698.0,189.03333333333333,25.546667536534432,268,151,0.4591646333333334,0.09039457199392867,0.6924119999999999,0.33492299999999997,0.46167261600494386,0.09073891790908986,0.6935999393463135,0.33785200119018555
95,3330.866666666667,134.94412012220303,3606.0,2999.0,199.33333333333334,25.826773360646936,264,163,0.5421244,0.08961504052616766,0.8556890000000001,0.42593099999999995,0.5457577228546142,0.09042717030595253,0.8666269779205322,0.427631139755249
100,3538.6,134.95964829039335,3812.0,3266.0,214.66666666666666,30.35713352007326,296,175,0.6633828666666667,0.1188784454010996,0.9753199999999999,0.519681,0.6654979228973389,0.12052065779846725,0.9858181476593018,0.5201170444488525
105,3698.9,105.89219360588706,3892.0,3438.0,225.1,21.91095616352696,275,190,0.7769722333333334,0.08965809248684073,1.003816,0.630448,0.7781477848688761,0.08987881993394839,1.0050811767578125,0.6314129829406738
110,3909.266666666667,138.70903198982955,4135.0,3632.0,232.3,25.764510474682027,281,191,0.8871853333333332,0.12876523539950094,1.152223,0.6979920000000001,0.8892666816711425,0.12893657319689217,1.1546008586883545,0.6990799903869629
115,4096.266666666666,134.3445652872576,4364.0,3840.0,252.9,29.054374312083656,305,210,1.0611962000000001,0.1313516899770485,1.2997509999999999,0.850355,1.063632353146871,0.13092775648576022,1.301330804824829,0.8518064022064209
120,4193.766666666666,133.7304959818648,4514.0,3923.0,267.1,32.98317753037145,347,205,1.2672106333333335,0.1868126443358842,1.7288059999999998,0.9382459999999999,1.2691545724868774,0.18729696378945962,1.730794906616211,0.9396119117736816
125,4433.5,167.6203547703361,4809.0,4074.0,289.96666666666664,32.2226455910884,378,240,1.5604790000000002,0.23226840904967405,2.4219090000000003,1.21629,1.5641946077346802,0.2313398926621551,2.425396203994751,1.2179880142211914
