Graph Size,Average Cost,Cost Std Dev,Cost Max,Cost Min,Average Nodes Expanded,Nodes Std Dev,Nodes Max,Nodes Min,Average CPU Time,CPU Std Dev,CPU Max,CPU Min,Average Real Time,Real Time Std Dev,Real Time Max,Real Time Min
5,198.13333333333333,39.135434355865044,271.0,120.0,24.966666666666665,6.715570630176479,36,11,4.1333333333334654e-05,6.6649997916146625e-06,5.300000000000443e-05,2.8000000000000247e-05,4.256566365559896e-05,6.791856788574517e-06,5.3882598876953125e-05,3.0040740966796875e-05
10,264.6666666666667,22.24160266008025,297.0,216.0,9048.966666666667,1861.196899548484,10000,3765,0.033413133333333324,0.007581043339511756,0.042862,0.013347999999999999,0.0337459405263265,0.00766162594892744,0.043180227279663086,0.013485193252563477
15,199.23333333333332,23.273279862442156,245.0,158.0,10000.0,0.0,10000,10000,0.07074066666666666,0.002970274570173979,0.078841,0.06795200000000001,0.07144237359364827,0.003780124148363013,0.08267998695373535,0.06803703308105469
20,179.73333333333332,21.992321892474706,217.0,121.0,10000.0,0.0,10000,10000,0.10874426666666667,0.0037303343990705315,0.11703000000000001,0.10405800000000001,0.10985854466756186,0.004281541231991263,0.12263894081115723,0.10483312606811523
25,161.96666666666667,22.552876140799032,203.0,122.0,10000.0,0.0,10000,10000,0.1469105666666667,0.006874326171503813,0.160335,0.135398,0.14915810426076254,0.007971967668672362,0.1669008731842041,0.1356649398803711
30,149.5,23.33059507742284,190.0,98.0,10000.0,0.0,10000,10000,0.18859953333333337,0.006233570537732681,0.201615,0.176117,0.19235045909881593,0.008667209576264325,0.2154552936553955,0.17695212364196777
35,139.3,16.83478541591784,176.0,98.0,10000.0,0.0,10000,10000,0.22220573333333338,0.006435565615822398,0.236839,0.212899,0.22484344641367596,0.007441342880284001,0.2408590316772461,0.21475696563720703
40,130.03333333333333,25.14820514911993,175.0,90.0,10000.0,0.0,10000,10000,0.2588253333333333,0.0067327854183011696,0.272037,0.24565900000000002,0.261785880724589,0.007575516788355643,0.276914119720459,0.24715423583984375
45,125.53333333333333,16.97985734791537,165.0,96.0,10000.0,0.0,10000,10000,0.2925442,0.00819063971616381,0.313089,0.27945200000000003,0.29609458446502684,0.010480380679674516,0.3203237056732178,0.2805471420288086
50,123.13333333333334,20.177104736694893,153.0,75.0,10000.0,0.0,10000,10000,0.3289754,0.006109577048099701,0.340029,0.315634,0.3307954788208008,0.006629794940800807,0.3428080081939697,0.3161599636077881
55,117.5,21.07565736420417,155.0,84.0,10000.0,0.0,10000,10000,0.36592609999999987,0.006435313078890049,0.37689399999999995,0.353636,0.36838401953379313,0.008833858991301175,0.399399995803833,0.35428404808044434
60,117.8,19.084723384599176,162.0,83.0,10000.0,0.0,10000,10000,0.40517913333333333,0.006938853069171848,0.42869999999999997,0.39135,0.4078339417775472,0.00929034582565922,0.4448821544647217,0.39194607734680176
65,111.36666666666666,17.468988395312294,143.0,75.0,10000.0,0.0,10000,10000,0.4672103,0.014608089152133023,0.50504,0.440729,0.476737380027771,0.024920372737298524,0.5745401382446289,0.444307804107666
70,111.5,19.535864454894234,147.0,65.0,10000.0,0.0,10000,10000,0.5019417,0.01368998873179473,0.523524,0.476722,0.5099559624989828,0.017336071463410676,0.5393848419189453,0.48065710067749023
75,102.46666666666667,15.125548658551933,123.0,66.0,10000.0,0.0,10000,10000,0.5424705666666667,0.012265652709044424,0.575422,0.5188510000000001,0.5492630163828532,0.01983921534868771,0.6304049491882324,0.5205581188201904
80,105.9,17.180124174948986,145.0,72.0,10000.0,0.0,10000,10000,0.5862973999999999,0.009393628552020425,0.606266,0.565168,0.5915957053502401,0.011631123480887523,0.6138501167297363,0.5659408569335938
